,방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가,취급액,성별 포함
16784,2019-06-07 08:00:00,30.0,100478,201452,파뷔에 항균도마 1+1+칼세트,0,49800,36015000,0
21,2019-01-01 12:00:00,20.0,100088,200236,에코라믹 통주물 스톤 냄비세트,0,60900,33823000,0
12634,2019-05-02 12:00:00,20.0,100475,201446,초특가  파뷔에 팬지 대형 후라이팬 세트,0,59800,20982000,0
28406,2019-09-25 06:00:00,20.0,100724,202115,IH 옛 가마솥 세트,0,62000,9761000,0
198,2019-01-03 14:00:00,20.0,100255,200868,한일 대용량 스텐 분쇄믹서기,0,109800,22816000,0
37833,2019-12-26 19:20:00,20.0,100638,201956,램프쿡 자동회전냄비,0,109000,32379000,0
9609,2019-04-06 07:00:00,20.0,100478,201453,파뷔에 항균도마 1+1세트,0,49800,27033000,0
37228,2019-12-20 08:20:00,20.0,100264,200878,셀렉프로 뚝배기 전기밥솥(멀티쿠커),0,79000,29415000,0
45,2019-01-01 20:00:00,20.0,100150,200533,일시불 LG 통돌이 세탁기,1,439000,35519000,0
35040,2019-11-29 22:20:00,20.0,100148,200412,LG 울트라HD TV 65UM7900BNA,1,1700000,37696000,0
32425,2019-11-03 09:20:00,30.0,100091,200248,(1등급)221L_딤채김치냉장고,1,899000,5028000,0
138,2019-01-02 21:00:00,20.0,100155,200554,일시불 LG전자 매직스페이스 냉장고,1,1409000,14485000,0
15194,2019-05-23 08:00:00,20.0,100456,201408,NNF 와이드데님팬츠 2종,2,39900,28605000,0
6583,2019-03-09 07:00:00,20.0,100452,201395,NNF SS트레이닝 세트,2,49000,14248000,0
21436,2019-07-21 06:00:00,20.0,100416,201320,코몽트 남성 프린트티셔츠8종,2,39900,13554000,1
34327,2019-11-22 01:20:00,20.0,100418,201323,코몽트 덤블 플리스 자켓 2종,2,49900,12582000,0
31600,2019-10-25 10:00:00,20.0,100340,201057,스튜디오럭스 후드롱구스다운코트,2,59000,22405000,0
25699,2019-08-31 06:00:00,20.0,100809,202384,CERINI by PAT 남성 어반 카라 티셔츠 4종(8월),2,49900,17542000,1
5712,2019-03-01 08:00:00,20.0,100458,201412,크리스티나앤코 가디건세트,2,34000,16325000,0
20516,2019-07-13 12:00:00,20.0,100416,201315,코몽트 남성 메쉬티셔츠 7종,2,39900,31261000,1
2177,2019-01-24 06:00:00,20.0,100458,201414,크리스티나앤코 기모티셔츠세트,2,29900,11435000,0
12711,2019-05-03 06:00:00,20.0,100818,202412,보코 에스닉 앙상블,2,29000,24617000,0
361,2019-01-05 08:00:00,20.0,100761,202216,마담팰리스 웜기모 롱베스트 3종세트,2,39900,16654000,0
14573,2019-05-17 19:00:00,20.0,100715,202090,젠트웰 스트레치 통풍 메쉬 자켓 1종,2,49000,17316000,0
30233,2019-10-12 07:00:00,20.0,100452,201400,NNF 라운지웨어세트,2,49000,28571000,0
34876,2019-11-28 08:20:00,20.0,100354,201135,마르엘라로사티 에코무스탕1종,2,99000,25941000,0
